Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.0.2-10.0.0.2-49608-80-6,10.128.0.2,49608,10.0.0.2,80,6,05/08/2018 07:08:17 PM,120954,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.80281760007937,60477.0,85463.75400133088,120909.0,45.0,0,0,0,0,0,120909.0,120909.0,0.0,120909.0,120909.0,0,0,0,0,20,52,8.267605866693122,16.535211733386245,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,235,0,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49609-80-6,10.128.0.2,49609,10.0.0.2,80,6,05/08/2018 07:08:17 PM,122725,2,2,370.0,0.0,370.0,0.0,185.0,261.6295090390226,0.0,0.0,0.0,0.0,3014.870645752699,32.59319617029945,40908.33333333333,70774.7733470997,122632.0,30.0,63.0,63.0,0.0,63.0,63.0,122632.0,122632.0,0.0,122632.0,122632.0,0,0,0,0,64,80,16.296598085149725,16.296598085149725,0.0,370.0,74.0,165.46903033498444,27380.0,0,1,0,0,0,0,0,0,1.0,92.5,185.0,0.0,0,0,0,0,0,0,2,370,2,0,-1,28960,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49581-80-6,10.128.0.2,49581,10.0.0.2,80,6,05/08/2018 07:08:10 PM,242618,11,12,325.0,10988.0,325.0,0.0,29.545454545454547,97.99118698777316,1408.0,0.0,915.6666666666666,680.7300003182858,46628.856886133755,94.79923171405254,11028.090909090906,35453.48790136584,120757.0,6.0,121820.0,12182.0,38212.62954399588,120937.0,38.0,242618.0,22056.181818181813,48725.30214748428,120757.0,17.0,0,0,0,0,292,400,45.33876299367731,49.46046872037524,0.0,1408.0,471.375,657.1225689718578,431810.070652174,0,1,0,0,0,0,0,0,1.0,491.8695652173913,29.545454545454547,915.6666666666666,0,0,0,0,0,0,11,325,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49582-80-6,10.128.0.2,49582,10.0.0.2,80,6,05/08/2018 07:08:11 PM,243966,11,12,325.0,10988.0,325.0,0.0,29.545454545454547,97.99118698777316,1408.0,0.0,915.6666666666666,680.7300003182858,46371.215661198694,94.27543182246707,11089.363636363634,35669.04844011649,121315.0,7.0,122599.0,12259.900000000003,38490.23621199999,121805.0,31.0,243966.0,22178.72727272727,49030.02039177816,121378.0,20.0,0,0,0,0,304,400,45.08825000204947,49.1871818204176,0.0,1408.0,471.375,657.1225689718578,431810.070652174,0,1,0,0,0,0,0,0,1.0,491.8695652173913,29.545454545454547,915.6666666666666,0,0,0,0,0,0,11,325,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49583-80-6,10.128.0.2,49583,10.0.0.2,80,6,05/08/2018 07:08:11 PM,243322,11,12,381.0,10988.0,381.0,0.0,34.63636363636364,114.87582228412793,1408.0,0.0,915.6666666666666,680.7300003182858,46724.09399889858,94.52495047714551,11060.090909090906,35542.66103459213,120875.0,2.0,122408.0,12240.799999999997,38392.61656678852,121508.0,8.0,243322.0,22120.181818181823,48848.18700590265,120965.0,12.0,0,0,0,0,292,400,45.20758501080872,49.31736546633679,0.0,1408.0,473.7083333333333,656.6794916168351,431227.95471014496,0,1,0,0,0,0,0,0,1.0,494.30434782608694,34.63636363636363,915.6666666666666,0,0,0,0,0,0,11,381,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49584-80-6,10.128.0.2,49584,10.0.0.2,80,6,05/08/2018 07:08:11 PM,245953,11,12,381.0,10988.0,381.0,0.0,34.63636363636364,114.87582228412793,1408.0,0.0,915.6666666666666,680.7300003182858,46224.27862233841,93.51380141734396,11179.681818181822,35939.869169789126,122498.0,8.0,123400.0,12340.0,38734.76156001365,122581.0,49.0,245953.0,22359.363636363632,49399.25847069513,122498.0,23.0,0,0,0,0,292,400,44.723991982207984,48.78980943513598,0.0,1408.0,473.7083333333333,656.6794916168351,431227.95471014496,0,1,0,0,0,0,0,0,1.0,494.30434782608694,34.63636363636363,915.6666666666666,0,0,0,0,0,0,11,381,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49585-80-6,10.128.0.2,49585,10.0.0.2,80,6,05/08/2018 07:08:11 PM,242918,11,12,365.0,10988.0,365.0,0.0,33.18181818181818,110.05164077088372,1408.0,0.0,915.6666666666666,680.7300003182858,46735.93558320092,94.6821561185256,11041.727272727272,35496.20999779825,120869.0,5.0,122004.0,12200.400000000003,38299.6357835888,121203.0,10.0,242918.0,22083.454545454537,48786.045368247746,120869.0,18.0,0,0,0,0,304,400,45.282770317555716,49.399385800969874,0.0,1408.0,473.04166666666663,656.7858150752481,431367.606884058,0,1,0,0,0,0,0,0,1.0,493.60869565217394,33.18181818181818,915.6666666666666,0,0,0,0,0,0,11,365,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49586-80-6,10.128.0.2,49586,10.0.0.2,80,6,05/08/2018 07:08:12 PM,245093,10,11,365.0,10988.0,365.0,0.0,36.5,115.42313459614584,2816.0,0.0,998.9090909090909,902.6398456245387,46321.192363714996,85.68176161701885,12254.649999999996,37437.789474884725,121865.0,6.0,123176.0,13686.222222222223,40684.098508439936,122177.0,20.0,245093.0,24509.299999999996,51266.63693768102,121865.0,20.0,0,0,0,0,284,368,40.800838865247066,44.88092275177178,0.0,2816.0,516.0454545454545,798.7538197105316,638007.6645021645,0,1,0,0,0,0,0,0,1.0,540.6190476190476,36.5,998.9090909090909,0,0,0,0,0,0,10,365,11,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49587-80-6,10.128.0.2,49587,10.0.0.2,80,6,05/08/2018 07:08:12 PM,245646,11,12,415.0,10988.0,415.0,0.0,37.72727272727273,125.1272079997719,1408.0,0.0,915.6666666666666,680.7300003182858,46420.458708873746,93.63067177971553,11165.727272727268,35898.70391238024,122198.0,6.0,123406.0,12340.599999999999,38759.85400786633,122653.0,14.0,245646.0,22331.454545454544,49338.08517639012,122198.0,16.0,0,0,0,0,316,400,44.779886503342205,48.850785276373315,0.0,1408.0,475.12499999999994,656.5074463963931,431002.02717391297,0,1,0,0,0,0,0,0,1.0,495.7826086956522,37.72727272727273,915.6666666666666,0,0,0,0,0,0,11,415,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49589-80-6,10.128.0.2,49589,10.0.0.2,80,6,05/08/2018 07:08:12 PM,245156,11,12,415.0,10988.0,415.0,0.0,37.72727272727273,125.1272079997719,1408.0,0.0,915.6666666666666,680.7300003182858,46513.240548875,93.81781396335394,11143.454545454546,35825.81233682041,121846.0,3.0,123228.0,12322.800000000001,38632.96221219503,122274.0,30.0,245156.0,22286.909090909085,49251.9080289374,121961.0,9.0,0,0,0,0,292,400,44.86938928682145,48.94842467653249,0.0,1408.0,475.12499999999994,656.5074463963931,431002.02717391297,0,1,0,0,0,0,0,0,1.0,495.7826086956522,37.72727272727273,915.6666666666666,0,0,0,0,0,0,11,415,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
