Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.2-10.0.2.15-80-58086-6,10.0.2.15,58086,10.0.2.2,80,6,16/08/2021 07:06:40 PM,14639,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,77805.86105608307,546.4854156704694,2091.285714285714,2656.6167528321753,7775.0,0.0,11680.0,3893.333333333333,6743.4511441348295,11680.0,0.0,12688.0,4229.333333333333,3408.913952174993,7775.0,976.0,0,0,0,0,128,144,273.2427078352347,273.2427078352347,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58088-6,10.0.2.15,58088,10.0.2.2,80,6,16/08/2021 07:06:45 PM,14607,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,77976.31272677484,547.6826179229137,2086.714285714286,2595.957030607769,7768.0,0.0,11712.0,3904.0,5936.776229571063,10736.0,0.0,12655.0,4218.333333333333,3420.7601981625858,7768.0,943.0,0,0,0,0,128,144,273.84130896145683,273.84130896145683,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58090-6,10.0.2.15,58090,10.0.2.2,80,6,16/08/2021 07:06:50 PM,16592,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,68647.54098360657,482.1600771456124,2370.285714285714,2920.2994546384975,8784.0,0.0,13664.0,4554.666666666667,7061.387281075393,12689.0,0.0,13664.0,4554.666666666666,3944.457039103523,8784.0,976.0,0,0,0,0,128,144,241.0800385728062,241.0800385728062,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58092-6,10.0.2.15,58092,10.0.2.2,80,6,16/08/2021 07:06:55 PM,15616,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,72938.01229508196,512.2950819672132,2230.8571428571427,2912.5226996867295,8784.0,975.0,12688.0,4229.333333333333,5635.804674874151,10737.0,975.0,13665.0,4555.0,3694.7242116293337,8784.0,1953.0,0,0,0,0,128,144,256.1475409836066,256.1475409836066,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58094-6,10.0.2.15,58094,10.0.2.2,80,6,16/08/2021 07:07:00 PM,16592,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,68647.54098360657,482.1600771456124,2370.285714285714,2510.697692826021,7807.0,0.0,12689.0,4229.666666666667,6499.10396388097,11713.0,0.0,13698.0,4566.0,2977.76610901528,7807.0,1951.0,0,0,0,0,128,144,241.0800385728062,241.0800385728062,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58096-6,10.0.2.15,58096,10.0.2.2,80,6,16/08/2021 07:07:05 PM,18546,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,61414.86034724469,431.3598619648442,2649.4285714285716,3320.753923290255,9762.0,0.0,13665.0,4555.0,7889.491428476236,13665.0,0.0,16594.0,5531.333333333334,3945.1583407175603,9762.0,1953.0,0,0,0,0,128,144,215.6799309824221,215.6799309824221,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58098-6,10.0.2.15,58098,10.0.2.2,80,6,16/08/2021 07:07:10 PM,16591,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,68651.67862093906,482.189138689651,2370.142857142857,2922.6235604659173,8783.0,0.0,13615.0,4538.333333333334,7071.358733180868,12686.0,0.0,14640.0,4880.0,3903.5000960676302,8783.0,976.0,0,0,0,0,128,144,241.0945693448255,241.0945693448255,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58080-6,10.0.2.2,80,10.0.2.15,58080,6,16/08/2021 07:06:25 PM,1951,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1025.1153254741157,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,1951.0,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,64,0.0,1025.1153254741157,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58148-6,10.0.2.2,80,10.0.2.15,58148,6,16/08/2021 07:09:16 PM,1952,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.5901639344263,1952.0,0.0,1952.0,1952.0,0,0,0,0,0,1952.0,1952.0,0.0,1952.0,1952.0,0,0,0,0,0,64,0.0,1024.5901639344263,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58140-6,10.0.2.2,80,10.0.2.15,58140,6,16/08/2021 07:08:55 PM,1951,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1025.1153254741157,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,1951.0,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,64,0.0,1025.1153254741157,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
